ETF代码,ETF名称,基金规模,next_crawl_index
159621,ESGETF国泰,0.1372166,440
563760,全指现金流ETF中银,10.94638885,440
516720,ESGETF浦银,0.14780684,440
159109,恒生50ETF景顺,4.00599017,440
513130,恒生科技ETF华泰柏瑞,451.29281966,440
159232,自由现金流ETF南方,37.74149574,440
159152,港股通科技ETF平安,7.71989106,440
520560,香港大盘30ETF华宝,5.95663587,440
159740,恒生科技ETF大成,190.20565955,440
510020,超大盘ETF博时,1.41527904,440
159742,恒生科技ETF博时,46.96697954,440
516460,现金流ETF800鹏华,6.95438418,440
520590,恒生科技ETF鹏华,2.02878635,440
159275,农牧渔ETF华宝,2.11505958,440
159222,自由现金流ETF易方达,19.83428261,440
159007,养殖ETF华泰柏瑞,1.88444848,440
159711,港股通50ETF华夏,0.63974007,440
510060,央企ETF工银,0.96130879,440
563620,全指现金流ETF兴业,0.70173537,440
512620,农业ETF天弘,9.97340076,440
512030,中证A50增强ETF易方达,0.4912064,440
513140,港股通金融ETF华泰柏瑞,1.41125312,440
510800,上证50ETF建信,2.66673792,440
516550,农业ETF嘉实,1.77498566,440
513720,港股互联网ETF国泰,1.52582146,440
513890,恒生科技ETF摩根,9.27369856,440
159233,自由现金流ETF平安,5.67305201,440
563770,全指现金流ETF招商,0.33560303,440
159825,农业ETF富国,17.98944353,440
520920,恒生科技ETF天弘,152.24677931,440
516810,农业ETF华夏,3.96798214,440
159542,工程机械ETF大成,0.32061132,440
510050,上证50ETF华夏,238.59617043,440
561080,全指现金流ETF华安,0.437805,440
513160,港股科技ETF银华,43.10319028,440
510990,180ESGETF工银,0.42750338,440
510100,上证50ETF易方达,26.59814985,440
159136,A50ETF广发,1.25400504,440
520570,恒生科技ETF南方,28.9576766,440
516250,工程机械ETF富国,0.97787264,440
563060,央企50ETF易方达,2.39478862,440
513050,中概互联网ETF易方达,373.66214478,440
159593,中证A50ETF平安,28.236503,440
512150,富时A50ETF汇安,0.37898846,440
517030,沪港深300ETF易方达,1.0148899,440
159166,现金流ETF长城,6.32065585,440
516760,养殖ETF平安,1.60757191,440
530050,上证50ETF东财,1.43199958,440
159020,养殖ETF易方达,0.95803807,440
159229,自由现金流ETF广发,1.75425459,440
159741,恒生科技ETF嘉实,11.30244983,440
560370,红利质量ETF易方达,1.053756,440
159822,新经济ETF银华,2.05246607,440
513180,恒生科技ETF华夏,498.01970565,440
563990,800现金流ETF富国,6.28386574,440
520980,港股通科技ETF汇添富,42.77308691,440
561920,疫苗ETF招商,0.27579032,440
560250,红利质量ETF富国,3.33526348,440
510950,上证50ETF广发,0.88326163,440
513010,恒生科技ETF易方达,309.81472137,440
510850,上证50ETF工银,2.01023814,440
159596,A50ETF华宝,3.60333784,440
561030,N工程机械ETF华泰柏瑞,2.7516725,440
159910,基本面120ETF嘉实,2.34394613,440
517000,沪港深500ETF银华,1.52374583,440
560280,工程机械ETF广发,37.56574196,440
510710,上证50ETF博时,4.49307423,440
159591,A50ETF富国,5.35289688,440
159595,中证A50ETF大成,13.27889472,440
515810,中证800ETF易方达,5.67150749,440
520870,巴西ETF易方达,5.98504373,440
516830,沪深300ESGETF富国,0.92636529,440
563350,A50ETF华泰柏瑞,2.74852491,440
159847,医疗ETF易方达,14.70300859,440
517010,沪港深500ETF易方达,0.99867253,440
159828,医疗ETF国泰,21.77732229,440
159578,深证主板50ETF南方,0.24318578,440
159607,中概互联网ETF嘉实,10.45620404,440
159605,中概互联ETF广发,36.82198743,440
159805,传媒ETF鹏华,3.53579982,440
515460,红利质量ETF南方,2.8904218,440
530000,上证50ETF天弘,13.18630142,440
159883,医疗器械ETF永赢,44.6477737,440
510680,上证50ETF万家,0.6122065,440
588130,科创医药ETF华夏,0.80427004,440
516790,医疗ETF华泰柏瑞,0.9672117,440
510190,上证50ETF华安,1.13852218,440
562070,沪深300指增ETF华宝,4.7143265,440
159209,红利质量ETF招商,22.57317234,440
159965,央视50ETF国联,0.43073258,440
512040,价值100ETF富国,40.94539528,440
516670,畜牧养殖ETF招商,18.60641913,440
